Incident_ID,Date,State,City,Region,Attack_Type,Target_System,Industry,Severity,Affected_Users,Data_Compromised_GB,Financial_Loss_INR,Response_Time_Minutes,Attack_Source,Outcome,Mitigation_Method,CERT_Status,Risk_Score,DateParsed,Severity_Score,Risk_Band,SLA_Threshold_Min,SLA_Met,Country,State_Incident_Count,State_Avg_Risk,State_Avg_Response,State_HighCritical_Pct,Hotspot_Cluster,Hotspot_Cluster_Name
INC000001,18-01-2022,Telangana,Hyderabad,South,SQL Injection,Network,Healthcare,High,985,21.94,1303820,227,External,Successful,Patch Management,Open,62,18-01-2022,70,High,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000002,27-03-2023,Maharashtra,Pune,West,Ransomware,Web App,Healthcare,Critical,391,139.39,7077053,354,Internal,Successful,Backup Recovery,Closed,64,27-03-2023,90,High,240,Missed,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000003,30-07-2020,Maharashtra,Mumbai,West,Malware,Email Server,Government,Medium,4497,178.17,955771,73,Internal,Blocked,EDR Isolation,Closed,53,30-07-2020,50,Medium,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000004,01-10-2022,Gujarat,Surat,West,Ransomware,Cloud Server,IT,Critical,2009,20.92,14824098,712,External,Under Investigation,Backup Recovery,Closed,95,01-10-2022,90,Critical,240,Missed,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
INC000005,30-03-2024,Gujarat,Surat,West,Insider Threat,Database,Manufacturing,High,3464,10.28,3147202,197,Internal,Successful,Access Revocation,Closed,64,30-03-2024,70,High,240,Met,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
INC000006,28-08-2022,Gujarat,Ahmedabad,West,Zero-Day Exploit,Web App,Telecom,Critical,4744,248.28,19092321,287,External,Under Investigation,Emergency Patch,Escalated,83,28-08-2022,90,Critical,240,Missed,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
INC000007,10-08-2022,Telangana,Hyderabad,South,Data Breach,Database,Telecom,High,1069,184.72,2490925,133,External,Successful,Encryption,Closed,75,10-08-2022,70,High,240,Met,India,762,69.17060367,231.0616798,70.60367454,C,High-volume hotspot
INC000008,08-04-2024,Maharashtra,Pune,West,Zero-Day Exploit,Network,Telecom,Critical,3412,246.62,9661368,692,External,Successful,Emergency Patch,Open,98,08-04-2024,90,Critical,240,Missed,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000009,29-08-2024,Maharashtra,Mumbai,West,SQL Injection,Email Server,Telecom,Medium,43,36.85,344671,30,External,Mitigated,Patch Management,Open,57,29-08-2024,50,Medium,240,Met,India,885,68.89717514,234.4960452,71.75141243,C,High-volume hotspot
INC000010,26-01-2022,Gujarat,Surat,West,Phishing,Cloud Server,Government,Medium,3954,158.51,813635,165,Internal,Mitigated,Password Reset,Open,60,26-01-2022,50,High,240,Met,India,494,68.18623482,219.9008097,69.43319838,B,Medium-volume hotspot
